ID,Name,Price,Quantity,Category
170,Fashion 2 PCS T-shirts Shorts Suits Men Clothing Sets Menswear,KSh 899,37,Fashion
171,Fashion 3 PCS Men T-shirts Sets Tshirt Polos Men Tops Men Clothes,"KSh 1,082",42,Fashion
172,Fashion 3 PCS T-Shirts Men Tops Tees Polos Male Clothing,"KSh 989 - KSh 1,099",193,Fashion
173,Fashion Mens Vintage Graffiti Beach Shirts  Casual Official T-Shirts,KSh 596 - KSh 662,220,Fashion
174,Fashion Mens Long Sleeve Dress Shirts - White,KSh 539 - KSh 599,63,Fashion
175,Fashion Men Short Sleeve Polo Shirt,KSh 790,16,Fashion
176,Fashion 3 In 1 Men T-shirts Men Tops Tees Men Wear Clothes Short Sleeve - White+grey+black,"KSh 1,290",126,Fashion
177,Fashion Men's Comfortable Long Sleeve Polo Shirt - Multicolor,KSh 960,456,Fashion
178,Fashion Men's 2 In 1 Short Sleeve T-Shirt & Shorts Set- Black,KSh 830,345,Fashion
179,ASHION Unisex Black & White Varsity Jacket - Classic Letterman Style With Free Necklace,"KSh 1,390",435,Fashion
180,NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 1,001",151,Health & Beauty
181,Garnier Even & Matte Vitamin  C Booster Serum 30ml.,"KSh 1,225",12,Health & Beauty
182,Cosrx [Made In Korea] Aloe Soothing Sun Cream SPF50 PA+++ - 50ml,"KSh 2,300",314,Health & Beauty
183,NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),KSh 944,380,Health & Beauty
184,Rexona Powder Antiperspirant Deodorant Roll On - 50ml,KSh 316,135,Health & Beauty
185,Dettol Dettol Liquid 125ml,KSh 280,336,Health & Beauty
186,Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,"KSh 1,000",242,Health & Beauty
187,Ard Alzaafran Mousuf Wardi Perfume 100ML,"KSh 1,650",7,Health & Beauty
188,NIVEA MEN Black & White Original Anti-Perspirant Spray 48h - 150ml (Pack Of 2).,"KSh 1,000",272,Health & Beauty
189,Vaseline Cocoa Glow Void 400ml,KSh 456,402,Health & Beauty
190,Deliya Hair blow dry Hair Dryer Hair Tools+ Nail Clipper Set 6 Gifts,"KSh 1,512",382,Health & Beauty
191,L'Oreal GLYCOLIC BRIGHT INSTANT GLOWING SERUM 15ML,KSh 850,373,Health & Beauty
192,NIVEA Lemongrass & Oil Shower Gel For Women - 250ml (Pack Of 2).,KSh 810,157,Health & Beauty
193,Garnier Day & Night Vitamin C Serum Routine Pack,"KSh 2,720",362,Health & Beauty
194,NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),KSh 995,382,Health & Beauty
196,Fridge,Ksh 15000,58,Electronics
